pc_time,elapsed_s,phase,direction_deg,target_speed_mps,target_vx_mps,target_vy_mps,stm32_cmd_speed_mps,stm32_cmd_speed_magnitude_mps,stm32_cmd_vx_mps,stm32_cmd_vy_mps,stm32_cmd_wz_radps,actual_speed_mps,actual_speed_magnitude_mps,actual_vx_mps,actual_vy_mps,actual_wz_radps,speed_error_mps,feedback_valid,status_frame_count,status_age_s,stm32_uart_rx_callback_count,stm32_v2_valid_count,stm32_rx_discarded_byte_count,status,odom_x_m,odom_y_m,odom_yaw_deg,lf_target_erpm,lf_feedback_erpm,rf_target_erpm,rf_feedback_erpm,lb_target_erpm,lb_feedback_erpm,rb_target_erpm,rb_feedback_erpm
2026-07-30T16:55:46.866,0.000000,start_hold,0.000000,0.060000,0.060000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000474,0.060000,1,110,0.015000,0,0,0,0,-0.000001,0.000000,0.141754,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2026-07-30T16:55:46.917,0.047000,start_hold,0.000000,0.060000,0.060000,0.000000,0.005250,0.005250,0.005250,0.000000,0.000000,0.000001,0.000002,0.000001,-0.000001,0.000615,0.059999,1,111,0.015000,1,1,0,1,-0.000000,0.000000,0.142670,-1000.000,0.000,-1000.000,-0.000,1000.000,-0.000,1000.000,0.000
2026-07-30T16:55:46.971,0.110000,start_hold,0.000000,0.060000,0.060000,0.000000,0.022750,0.022750,0.022750,0.000000,0.000000,0.004272,0.004397,0.004272,-0.001043,0.006019,0.055728,1,112,0.031000,2,2,0,1,0.000049,0.000209,0.149078,-1000.000,-413.000,-1000.000,-0.000,1000.000,450.000,1000.000,371.000
2026-07-30T16:55:47.011,0.141000,start_hold,0.000000,0.060000,0.060000,0.000000,0.040250,0.040250,0.040250,0.000000,0.000000,0.017078,0.018038,0.017078,-0.005807,0.013712,0.042922,1,113,0.000000,3,3,0,1,0.000427,0.001316,0.197754,-906.400,-569.000,-1000.000,-0.000,906.400,529.000,906.400,538.000
2026-07-30T16:55:47.070,0.204000,start_hold,0.000000,0.060000,0.060000,0.000000,0.057750,0.057750,0.057750,0.000000,0.000000,0.035694,0.035780,0.035694,-0.002479,0.003906,0.024306,1,114,0.016000,4,4,0,1,-0.000163,0.004083,0.212860,-974.400,-741.000,-974.400,-725.000,974.400,723.000,974.400,781.000
2026-07-30T16:55:47.117,0.250000,start_hold,0.000000,0.060000,0.060000,0.000000,0.060000,0.060000,0.060000,0.000000,0.000000,0.046898,0.046996,0.046898,-0.003032,-0.000643,0.013102,1,115,0.015000,5,5,0,1,0.000562,0.006069,0.209808,-983.143,-921.000,-983.143,-725.000,983.143,807.000,983.143,882.000
2026-07-30T16:55:47.168,0.297000,start_hold,0.000000,0.060000,0.060000,0.000000,0.060000,0.060000,0.060000,0.000000,0.000000,0.053549,0.053590,0.053549,-0.002106,0.000524,0.006451,1,116,0.015000,6,6,0,1,-0.000074,0.009601,0.208740,-983.143,-900.000,-983.143,-873.000,983.143,848.000,983.143,883.000
2026-07-30T16:55:47.221,0.360000,start_hold,0.000000,0.060000,0.060000,0.000000,0.060000,0.060000,0.060000,0.000000,0.000000,0.054991,0.055001,0.054991,-0.001058,-0.000311,0.005009,1,117,0.031000,7,7,0,1,0.000660,0.011686,0.202942,-983.143,-892.000,-983.143,-873.000,983.143,816.000,983.143,835.000
2026-07-30T16:55:47.264,0.407000,start_hold,0.000000,0.060000,0.060000,0.000000,0.060000,0.060000,0.060000,0.000000,0.000000,0.053261,0.053261,0.053261,-0.000267,0.002376,0.006739,1,118,0.016000,8,8,0,1,0.000038,0.015068,0.211487,-983.143,-745.000,-983.143,-847.000,983.143,765.000,983.143,810.000
2026-07-30T16:55:47.307,0.438000,start_hold,0.000000,0.060000,0.060000,0.000000,0.060000,0.060000,0.060000,0.000000,0.000000,0.051055,0.051083,0.051055,0.001698,-0.020919,0.008945,1,119,0.000000,9,9,0,1,0.000508,0.016931,0.158539,-983.143,-779.000,-983.143,-847.000,983.143,825.000,983.143,775.000
2026-07-30T16:55:47.370,0.500000,start_hold,0.000000,0.060000,0.060000,0.000000,0.060000,0.060000,0.060000,0.000000,0.000000,0.051163,0.051163,0.051163,0.000111,-0.004419,0.008837,1,120,0.015000,10,10,0,1,-0.000093,0.020099,0.140381,-983.143,-820.000,-983.143,-769.000,983.143,784.000,983.143,820.000
2026-07-30T16:55:47.421,0.563000,start_hold,0.000000,0.060000,0.060000,0.000000,0.060000,0.060000,0.060000,0.000000,0.000000,0.051987,0.052004,0.051987,-0.001355,-0.005631,0.008013,1,121,0.031000,11,11,0,1,0.000619,0.022092,0.130615,-983.143,-885.000,-983.143,-769.000,983.143,797.000,983.143,844.000
2026-07-30T16:55:47.458,0.594000,start_hold,0.000000,0.060000,0.060000,0.000000,0.060000,0.060000,0.060000,0.000000,0.000000,0.053578,0.053614,0.053578,-0.001968,-0.010986,0.006422,1,122,0.015000,12,12,0,1,0.000066,0.025454,0.102234,-983.143,-928.000,-983.143,-812.000,983.143,820.000,983.143,855.000
2026-07-30T16:55:47.515,0.657000,start_hold,0.000000,0.060000,0.060000,0.000000,0.060000,0.060000,0.060000,0.000000,0.000000,0.054873,0.054946,0.054873,-0.002836,-0.018187,0.005127,1,123,0.016000,13,13,0,1,0.000861,0.027559,0.053253,-983.143,-992.000,-983.143,-812.000,983.143,797.000,983.143,878.000
2026-07-30T16:55:47.558,0.688000,start_hold,0.000000,0.060000,0.060000,0.000000,0.060000,0.060000,0.060000,0.000000,0.000000,0.056712,0.056780,0.056712,-0.002777,-0.039901,0.003288,1,124,0.000000,14,14,0,1,0.000259,0.031171,359.944916,-983.143,-1037.000,-983.143,-911.000,983.143,800.000,983.143,833.000
2026-07-30T16:55:47.622,0.750000,start_hold,0.000000,0.060000,0.060000,0.000000,0.060000,0.060000,0.060000,0.000000,0.000000,0.056751,0.056809,0.056751,-0.002574,-0.031620,0.003249,1,125,0.015000,15,15,0,1,0.001186,0.033344,359.839325,-983.143,-1046.000,-983.143,-911.000,983.143,768.000,983.143,808.000
2026-07-30T16:55:47.673,0.813000,start_hold,0.000000,0.060000,0.060000,0.000000,0.060000,0.060000,0.060000,0.000000,0.000000,0.056507,0.056548,0.056507,-0.002168,0.001984,0.003493,1,126,0.031000,16,16,0,1,0.002058,0.035399,359.836731,-983.143,-988.000,-983.143,-958.000,983.143,730.000,983.143,798.000
