pc_time,elapsed_s,phase,direction_deg,target_speed_mps,target_vx_mps,target_vy_mps,stm32_cmd_speed_mps,stm32_cmd_speed_magnitude_mps,stm32_cmd_vx_mps,stm32_cmd_vy_mps,stm32_cmd_wz_radps,actual_speed_mps,actual_speed_magnitude_mps,actual_vx_mps,actual_vy_mps,actual_wz_radps,speed_error_mps,feedback_valid,status_frame_count,status_age_s,stm32_uart_rx_callback_count,stm32_v2_valid_count,stm32_rx_discarded_byte_count,status,odom_x_m,odom_y_m,odom_yaw_deg,lf_target_erpm,lf_feedback_erpm,rf_target_erpm,rf_feedback_erpm,lb_target_erpm,lb_feedback_erpm,rb_target_erpm,rb_feedback_erpm
2026-07-30T17:12:03.131,0.000000,start_hold,0.000000,0.060000,0.060000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000001,-0.000000,0.000000,0.000416,0.060000,1,110,0.047000,0,0,0,0,-0.000002,0.000001,0.104523,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2026-07-30T17:12:03.184,0.047000,start_hold,0.000000,0.060000,0.060000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000604,0.060000,1,111,0.047000,0,0,0,0,-0.000002,0.000001,0.106201,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2026-07-30T17:12:03.238,0.109000,start_hold,0.000000,0.060000,0.060000,0.000000,0.015750,0.015750,0.015750,0.000000,0.000000,0.000005,0.000008,0.000005,-0.000005,0.000065,0.059995,1,112,0.046000,1,1,0,1,-0.000002,0.000001,0.106201,-1000.000,0.000,-1000.000,-0.000,1000.000,-0.000,1000.000,3.000
2026-07-30T17:12:03.284,0.156000,start_hold,0.000000,0.060000,0.060000,0.000000,0.033250,0.033250,0.033250,0.000000,0.000000,0.011511,0.012286,0.011511,-0.004293,-0.016611,0.048489,1,113,0.047000,2,2,0,1,0.000280,0.000751,0.061951,-900.000,-478.000,-1000.000,-0.000,900.000,417.000,900.000,417.000
2026-07-30T17:12:03.329,0.203000,start_hold,0.000000,0.060000,0.060000,0.000000,0.050750,0.050750,0.050750,0.000000,0.000000,0.028623,0.028827,0.028623,-0.003420,0.008044,0.031377,1,114,0.047000,3,3,0,1,-0.000140,0.003062,0.078125,-947.200,-686.000,-947.200,-606.000,947.200,550.000,947.200,681.000
2026-07-30T17:12:03.376,0.250000,start_hold,0.000000,0.060000,0.060000,0.000000,0.060000,0.060000,0.060000,0.000000,0.000000,0.040041,0.040331,0.040041,-0.004823,0.004211,0.019959,1,115,0.031000,4,4,0,1,0.000605,0.004799,0.086670,-983.143,-802.000,-983.143,-606.000,983.143,664.000,983.143,834.000
2026-07-30T17:12:03.427,0.297000,start_hold,0.000000,0.060000,0.060000,0.000000,0.060000,0.060000,0.060000,0.000000,0.000000,0.048155,0.048413,0.048155,-0.004992,0.005844,0.011845,1,116,0.000000,5,5,0,1,0.000218,0.007995,0.104065,-983.143,-921.000,-983.143,-762.000,983.143,733.000,983.143,944.000
2026-07-30T17:12:03.481,0.344000,start_hold,0.000000,0.060000,0.060000,0.000000,0.060000,0.060000,0.060000,0.000000,0.000000,0.051563,0.051771,0.051563,-0.004629,-0.002354,0.008437,1,117,0.031000,6,6,0,1,0.001066,0.010048,0.101624,-983.143,-617.000,-983.143,-762.000,983.143,742.000,983.143,914.000
2026-07-30T17:12:03.539,0.406000,start_hold,0.000000,0.060000,0.060000,0.000000,0.060000,0.060000,0.060000,0.000000,0.000000,0.053436,0.053576,0.053436,-0.003876,-0.006175,0.006564,1,118,0.031000,7,7,0,1,0.000598,0.013374,0.074768,-983.143,-889.000,-983.143,-785.000,983.143,817.000,983.143,967.000
2026-07-30T17:12:03.586,0.453000,start_hold,0.000000,0.060000,0.060000,0.000000,0.060000,0.060000,0.060000,0.000000,0.000000,0.053436,0.053576,0.053436,-0.003876,-0.006175,0.006564,1,118,0.078000,7,7,0,1,0.000598,0.013374,0.074768,-983.143,-889.000,-983.143,-785.000,983.143,817.000,983.143,967.000
2026-07-30T17:12:03.634,0.500000,start_hold,0.000000,0.060000,0.060000,0.000000,0.060000,0.060000,0.060000,0.000000,0.000000,0.054668,0.054798,0.054668,-0.003772,0.001309,0.005332,1,119,0.016000,8,8,0,1,0.001416,0.015504,0.082397,-983.143,-891.000,-983.143,-785.000,983.143,815.000,983.143,923.000
2026-07-30T17:12:03.685,0.563000,start_hold,0.000000,0.060000,0.060000,0.000000,0.060000,0.060000,0.060000,0.000000,0.000000,0.054668,0.054798,0.054668,-0.003772,0.001309,0.005332,1,119,0.079000,8,8,0,1,0.001416,0.015504,0.082397,-983.143,-891.000,-983.143,-785.000,983.143,815.000,983.143,923.000
2026-07-30T17:12:03.723,0.594000,start_hold,0.000000,0.060000,0.060000,0.000000,0.060000,0.060000,0.060000,0.000000,0.000000,0.054756,0.054796,0.054756,-0.002098,-0.000315,0.005244,1,120,0.031000,8,8,0,1,0.000797,0.018935,0.079498,-983.143,-866.000,-983.143,-847.000,983.143,823.000,983.143,850.000
2026-07-30T17:12:03.779,0.656000,start_hold,0.000000,0.060000,0.060000,0.000000,0.060000,0.060000,0.060000,0.000000,0.000000,0.054756,0.054796,0.054756,-0.002098,-0.000315,0.005244,1,120,0.093000,8,8,0,1,0.000797,0.018935,0.079498,-983.143,-866.000,-983.143,-847.000,983.143,823.000,983.143,850.000
2026-07-30T17:12:03.824,0.688000,start_hold,0.000000,0.060000,0.060000,0.000000,0.060000,0.060000,0.060000,0.000000,0.000000,0.058233,0.058270,0.058233,-0.002070,-0.009693,0.001767,1,124,0.032000,13,13,0,1,0.001000,0.030194,0.087585,-983.143,-955.000,-983.143,-883.000,983.143,903.000,983.143,965.000
2026-07-30T17:12:03.890,0.766000,start_hold,0.000000,0.060000,0.060000,0.000000,0.060000,0.060000,0.060000,0.000000,0.000000,0.059208,0.059259,0.059208,-0.002455,0.003452,0.000792,1,125,0.047000,14,14,0,1,0.001763,0.032543,0.081329,-983.143,-985.000,-983.143,-883.000,983.143,870.000,983.143,938.000
2026-07-30T17:12:03.924,0.797000,start_hold,0.000000,0.060000,0.060000,0.000000,0.060000,0.060000,0.060000,0.000000,0.000000,0.056070,0.056116,0.056070,-0.002266,0.007752,0.003930,1,126,0.031000,15,15,0,1,0.001234,0.035941,0.109558,-983.143,-817.000,-983.143,-812.000,983.143,791.000,983.143,854.000
2026-07-30T17:12:03.978,0.844000,start_hold,0.000000,0.060000,0.060000,0.000000,0.060000,0.060000,0.060000,0.000000,0.000000,0.052269,0.052271,0.052269,0.000375,-0.008130,0.007731,1,127,0.031000,16,16,0,1,0.001796,0.037800,0.097809,-983.143,-790.000,-983.143,-812.000,983.143,823.000,983.143,781.000
2026-07-30T17:12:04.036,0.906000,start_hold,0.000000,0.060000,0.060000,0.000000,0.060000,0.060000,0.060000,0.000000,0.000000,0.052044,0.052054,0.052044,0.001046,0.000561,0.007956,1,128,0.047000,17,17,0,1,0.001090,0.041024,0.103607,-983.143,-767.000,-983.143,-793.000,983.143,881.000,983.143,805.000
2026-07-30T17:12:04.080,0.953000,start_hold,0.000000,0.060000,0.060000,0.000000,0.060000,0.060000,0.060000,0.000000,0.000000,0.052910,0.052926,0.052910,0.001299,-0.002892,0.007090,1,129,0.047000,18,18,0,1,0.001655,0.043040,0.091248,-983.143,-833.000,-983.143,-793.000,983.143,931.000,983.143,813.000
2026-07-30T17:12:04.128,1.000000,start_hold,0.000000,0.060000,0.060000,0.000000,0.060000,0.060000,0.060000,0.000000,0.000000,0.055675,0.055727,0.055675,0.002413,-0.004625,0.004325,1,130,0.031000,19,19,0,1,0.000762,0.046616,0.081940,-983.143,-854.000,-983.143,-908.000,983.143,981.000,983.143,828.000
2026-07-30T17:12:04.179,1.047000,start_hold,0.000000,0.060000,0.060000,0.000000,0.060000,0.060000,0.060000,0.000000,0.000000,0.058316,0.058373,0.058316,0.002570,-0.003943,0.001684,1,131,0.031000,20,20,0,1,0.001355,0.048847,0.067139,-983.143,-947.000,-983.143,-908.000,983.143,1044.000,983.143,880.000
2026-07-30T17:12:04.233,1.109000,start_hold,0.000000,0.060000,0.060000,0.000000,0.060000,0.060000,0.060000,0.000000,0.000000,0.061765,0.061860,0.061765,0.003440,-0.001511,-0.001765,1,132,0.062000,21,21,0,1,0.000310,0.052844,0.060120,-983.143,-954.000,-983.143,-1037.000,983.143,1077.000,983.143,914.000
