pc_time,elapsed_s,stm32_tick_ms,status_sequence,status_sequence_gap,status_transport_delay_s,phase,direction_deg,target_speed_mps,target_vx_mps,target_vy_mps,stm32_cmd_speed_mps,stm32_cmd_speed_magnitude_mps,stm32_cmd_vx_mps,stm32_cmd_vy_mps,stm32_cmd_wz_radps,actual_speed_mps,actual_speed_magnitude_mps,actual_vx_mps,actual_vy_mps,actual_wz_radps,speed_error_mps,feedback_valid,status_frame_count,status_age_s,stm32_uart_rx_callback_count,stm32_v2_valid_count,stm32_rx_discarded_byte_count,status,odom_x_m,odom_y_m,odom_yaw_deg,lf_target_erpm,lf_feedback_erpm,rf_target_erpm,rf_feedback_erpm,lb_target_erpm,lb_feedback_erpm,rb_target_erpm,rb_feedback_erpm
2026-08-03T17:13:08.820,0.050000,1678702,33595,0,-0.003000,min_hold,0.000000,0.060000,0.060000,0.000000,0.008750,0.008750,0.008750,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000336,0.060000,1,112,0.015000,1,1,0,1,0.000000,0.000000,0.223236,-1000.000,0.000,-1000.000,-0.000,1000.000,-0.000,1000.000,0.000
2026-08-03T17:13:08.922,0.150000,1678802,33597,1,0.006000,min_hold,0.000000,0.060000,0.060000,0.000000,0.043750,0.043750,0.043750,0.000000,0.000000,0.021965,0.023236,0.021965,-0.007579,0.014743,0.038035,1,113,0.000000,3,3,0,1,0.000596,0.001831,0.330353,-920.000,-613.000,-1000.000,-0.000,920.000,628.000,920.000,627.000
2026-08-03T17:13:09.025,0.200000,1678852,33598,0,0.050000,min_hold,0.000000,0.060000,0.060000,0.000000,0.060000,0.060000,0.060000,0.000000,0.000000,0.037361,0.037416,0.037361,-0.002025,-0.003530,0.022639,1,114,0.047000,4,4,0,1,-0.000032,0.004592,0.319824,-983.143,-769.000,-983.143,-681.000,983.143,794.000,983.143,675.000
2026-08-03T17:13:09.029,0.250000,1678902,33599,0,0.015000,min_hold,0.000000,0.060000,0.060000,0.000000,0.060000,0.060000,0.060000,0.000000,0.000000,0.044954,0.044961,0.044954,-0.000798,0.002611,0.015046,1,115,0.032000,4,4,0,1,0.000511,0.006448,0.309296,-983.143,-800.000,-983.143,-681.000,983.143,820.000,983.143,735.000
2026-08-03T17:13:09.118,0.300000,1678952,33600,0,0.043000,min_hold,0.000000,0.060000,0.060000,0.000000,0.060000,0.060000,0.060000,0.000000,0.000000,0.049206,0.049211,0.049206,0.000694,0.005953,0.010794,1,116,0.016000,6,6,0,1,-0.000223,0.009652,0.333710,-983.143,-795.000,-983.143,-806.000,983.143,843.000,983.143,740.000
2026-08-03T17:13:09.121,0.350000,1679002,33601,0,0.009000,min_hold,0.000000,0.060000,0.060000,0.000000,0.060000,0.060000,0.060000,0.000000,0.000000,0.050669,0.050691,0.050669,0.001493,0.003643,0.009331,1,117,0.000000,7,7,0,1,0.000331,0.011571,0.342712,-983.143,-798.000,-983.143,-806.000,983.143,850.000,983.143,746.000
2026-08-03T17:13:09.166,0.400000,1679052,33602,0,-0.010000,min_hold,0.000000,0.060000,0.060000,0.000000,0.060000,0.060000,0.060000,0.000000,0.000000,0.052118,0.052196,0.052118,0.002868,0.002401,0.007882,1,118,0.063000,8,8,0,1,-0.000580,0.014912,0.349274,-983.143,-764.000,-983.143,-882.000,983.143,894.000,983.143,759.000
2026-08-03T17:13:09.220,0.450000,1679102,33603,0,0.003000,min_hold,0.000000,0.060000,0.060000,0.000000,0.060000,0.060000,0.060000,0.000000,0.000000,0.053286,0.053395,0.053286,0.003408,-0.004159,0.006714,1,119,0.000000,9,9,0,1,-0.000059,0.016893,0.342560,-983.143,-819.000,-983.143,-882.000,983.143,903.000,983.143,804.000
2026-08-03T17:13:09.270,0.500000,1679152,33604,0,0.000000,min_hold,0.000000,0.060000,0.060000,0.000000,0.060000,0.060000,0.060000,0.000000,0.000000,0.055923,0.056022,0.055923,0.003324,-0.015665,0.004077,1,120,0.000000,10,10,0,1,-0.000985,0.020464,0.295258,-983.143,-863.000,-983.143,-913.000,983.143,985.000,983.143,841.000
2026-08-03T17:13:09.321,0.550000,1679202,33605,0,-0.003000,min_hold,0.000000,0.060000,0.060000,0.000000,0.060000,0.060000,0.060000,0.000000,0.000000,0.058506,0.058533,0.058506,0.001783,-0.007935,0.001494,1,121,0.015000,11,11,0,1,-0.000327,0.022704,0.260925,-983.143,-958.000,-983.143,-913.000,983.143,970.000,983.143,883.000
2026-08-03T17:13:09.365,0.600000,1679252,33606,0,-0.007000,min_hold,0.000000,0.060000,0.060000,0.000000,0.060000,0.060000,0.060000,0.000000,0.000000,0.058139,0.058140,0.058139,-0.000384,0.005384,0.001861,1,122,0.063000,12,12,0,1,-0.000977,0.026299,0.272980,-983.143,-950.000,-983.143,-862.000,983.143,860.000,983.143,894.000
2026-08-03T17:13:09.466,0.650000,1679302,33607,0,0.053000,min_hold,0.000000,0.060000,0.060000,0.000000,0.060000,0.060000,0.060000,0.000000,0.000000,0.056565,0.056587,0.056565,-0.001558,0.009315,0.003435,1,123,0.047000,13,13,0,1,-0.000189,0.028407,0.301056,-983.143,-866.000,-983.143,-862.000,983.143,783.000,983.143,903.000
2026-08-03T17:13:09.621,0.700000,1679352,33608,0,0.159000,min_hold,0.000000,0.060000,0.060000,0.000000,0.060000,0.060000,0.060000,0.000000,0.000000,0.054683,0.054701,0.054683,-0.001433,0.011525,0.005317,1,124,0.047000,13,13,0,1,-0.000746,0.031852,0.336914,-983.143,-796.000,-983.143,-850.000,983.143,785.000,983.143,890.000
2026-08-03T17:13:09.734,0.750000,1679402,33609,0,0.218000,min_hold,0.000000,0.060000,0.060000,0.000000,0.060000,0.060000,0.060000,0.000000,0.000000,0.054023,0.054034,0.054023,-0.001089,0.015212,0.005977,1,125,0.032000,13,13,0,1,-0.000027,0.033855,0.372009,-983.143,-827.000,-983.143,-850.000,983.143,813.000,983.143,876.000
2026-08-03T17:13:09.921,0.800000,1679452,33610,0,0.356000,min_hold,0.000000,0.060000,0.060000,0.000000,0.060000,0.060000,0.060000,0.000000,0.000000,0.055412,0.055413,0.055412,-0.000256,0.011509,0.004588,1,126,0.047000,15,15,0,1,-0.000818,0.037397,0.411377,-983.143,-831.000,-983.143,-937.000,983.143,811.000,983.143,931.000
2026-08-03T17:13:09.968,0.850000,1679502,33611,0,0.353000,min_hold,0.000000,0.060000,0.060000,0.000000,0.060000,0.060000,0.060000,0.000000,0.000000,0.057219,0.057223,0.057219,-0.000666,0.013750,0.002781,1,127,0.000000,16,16,0,1,-0.000053,0.039535,0.455933,-983.143,-889.000,-983.143,-937.000,983.143,846.000,983.143,985.000
2026-08-03T17:13:09.970,0.900000,1679552,33612,0,0.303000,min_hold,0.000000,0.060000,0.060000,0.000000,0.060000,0.060000,0.060000,0.000000,0.000000,0.059769,0.059771,0.059769,-0.000487,-0.008853,0.000231,1,128,0.000000,16,16,0,1,-0.000874,0.043388,0.438232,-983.143,-824.000,-983.143,-1012.000,983.143,873.000,983.143,1002.000
2026-08-03T17:13:09.972,0.950000,1679602,33613,0,0.253000,min_hold,0.000000,0.060000,0.060000,0.000000,0.060000,0.060000,0.060000,0.000000,0.000000,0.061721,0.061725,0.061721,-0.000711,-0.021640,-0.001721,1,129,0.000000,18,18,0,1,0.000038,0.045779,0.374756,-983.143,-1019.000,-983.143,-1012.000,983.143,937.000,983.143,958.000
2026-08-03T17:13:09.974,1.000000,1679652,33614,0,0.203000,min_hold,0.000000,0.060000,0.060000,0.000000,0.060000,0.060000,0.060000,0.000000,0.000000,0.060410,0.060475,0.060410,-0.002798,-0.008505,-0.000410,1,130,0.000000,18,18,0,1,-0.000468,0.049440,0.335388,-983.143,-1023.000,-983.143,-831.000,983.143,887.000,983.143,902.000
2026-08-03T17:13:10.021,1.050000,1679702,33615,0,0.200000,min_hold,0.000000,0.060000,0.060000,0.000000,0.060000,0.060000,0.060000,0.000000,0.000000,0.058725,0.058774,0.058725,-0.002417,0.003867,0.001275,1,131,0.000000,19,19,0,1,0.000305,0.051686,0.339355,-983.143,-948.000,-983.143,-831.000,983.143,910.000,983.143,884.000
2026-08-03T17:13:10.147,1.100000,1679752,33616,0,0.275000,min_hold,0.000000,0.060000,0.060000,0.000000,0.060000,0.060000,0.060000,0.000000,0.000000,0.057193,0.057204,0.057193,-0.001156,0.005035,0.002807,1,132,0.031000,21,21,0,1,-0.000371,0.055192,0.358582,-983.143,-889.000,-983.143,-851.000,983.143,880.000,983.143,862.000
